term,OC_Score,OC1,OC2,OC_US,OC_West_Top,OC_West
Quiet Luxury,0,0,0,0,0,0
Z Man,2,2,0,1.0,0.0,0.0
Fast Box,0,0,0,0,0,0
Honka,0,0,0,0,0,0
Teres,2,2,0,1.0,0.0,0.0
Emailz,0,0,0,0,0,0
iThinking,0,0,0,0,0,0
WebWolf,0,0,0,0,0,0
Alfredos,0,0,0,0,0,0
Plexer,0,0,0,0,0,0
Glam Hub,0,0,0,0,0,0
Top Sign,0,0,0,0,0,0
estime.org,0,0,0,0,0,0
Emade,0,1,0,0.0,1.0,0.0
ADPOP,0,0,0,0,0,0
Granny Sex,0,0,0,0,0,0
Profit Partners,0,0,0,0,0,0
Starb,0,0,0,0,0,0
Kanba,0,0,0,0,0,0
WP Website,0,0,0,0,0,0
Eye Lens,0,0,0,0,0,0
B English,0,0,0,0,0,0
shengcai.org,0,0,0,0,0,0
INTAP,0,0,0,0,0,0
Bitcoin Loan,0,0,0,0,0,0
Gamer Boy,0,0,0,0,0,0
Batte,0,0,0,0.0,0.2,0.8
Server Side Tracking,0,0,0,0,0,0
Specky,0,0,0,0,0,0
Ask Sam,0,0,0,0,0,0
Leoben,0,0,0,0,0,0
Hello Agency,0,0,0,0,0,0
Aqua MC,0,0,0,0,0,0
