term,value
777 Casino,0--($0.0m)
AI Wise,0--($0.0m)
MAVA,0--($0.0m)
ProAdvisor,0--($0.0m)
Nutripure,0--($0.0m)
Easy Mart,0--($0.0m)
AiWear,0--($0.0m)
Black Arrow,0--($0.0m)
D I T O,1--($0.0m)
Dress Me Up,0--($0.0m)
NetFocus,0--($0.0m)
SolPad,0--($0.0m)
stETH,1--($0.0m)
Roseline,1--($0.0m)
American Shop,0--($0.0m)
Refinish,0--($0.0m)
Creatura,2--($0.0m)
SamStore,0--($0.0m)
FoodGo,0--($0.0m)
Longboat,10--($0.7m)
Swift Send,0--($0.0m)
Brain Sports,0--($0.0m)
SkyFit,0--($0.0m)
All Things Digital,0--($0.0m)
En Pointe,1--($0.0m)
Bymark,0--($0.0m)
Buzz TV,0--($0.0m)
Athmos,0--($0.0m)
Go Wellness,0--($0.0m)
Tarini,0--($0.0m)
PowerLock,0--($0.0m)
Cook Club,0--($0.0m)
Lokah,0--($0.0m)
Gamerclub,0--($0.0m)
Salara,0--($0.0m)
Printability,0--($0.0m)
Fashion Designs,0--($0.0m)
Yusr,0--($0.0m)
Zen Light,0--($0.0m)
LifeSigns,2--($3.7m)
